Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
70409,AUBAS,24290,AUBAS,,45.0532972377, 1.1586306829
70410,AUDRIX,24260,AUDRIX,,44.9453097952, 0.921132326472
70411,BANEUIL,24150,BANEUIL,,44.8499844626, 0.730354146465
70412,BARDOU,24560,BARDOU,,44.7422356439, 0.603161629803
70413,BEAUMONTOIS EN PERIGORD,24440,BEAUMONTOIS EN PERIGORD,NOJALS ET CLOTTE,44.7570815244, 0.786200936905
70414,PAYS DE BELVES,24170,PAYS DE BELVES,FONGALOP,44.7520136105, 1.04613211786
70415,BERTRIC BUREE,24320,BERTRIC BUREE,,45.3701841655, 0.369368345584
70416,LA BOISSIERE D ANS,24640,LA BOISSIERE D ANS,,45.228517812, 0.964656350856
70417,BOSSET,24130,BOSSET,,44.9031230297, 0.344590140329
70418,BOUILLAC,24480,BOUILLAC,,44.8133494955, 0.885908136539
70418,BRANTOME EN PERIGORD,24310,BRANTOME EN PERIGORD,,45.3490445975, 0.614627469237
70418,BRANTOME EN PERIGORD,24310,BRANTOME EN PERIGORD,ST JULIEN DE BOURDEILLES,45.3490445975, 0.614627469237
70419,LE BUGUE,24260,LE BUGUE,,44.9453097952, 0.921132326472
70420,BUSSIERE BADIL,24360,BUSSIERE BADIL,,45.6403534029, 0.649615228701
70421,CAPDROT,24540,CAPDROT,,44.678438827, 0.899675879539
70422,CARSAC DE GURSON,24610,CARSAC DE GURSON,,44.9374172162, 0.100217545195
70423,CHALAGNAC,24380,CHALAGNAC,,45.0320385201, 0.735708739436
70425,CHAMPCEVINEL,24750,CHAMPCEVINEL,,45.1801193657, 0.766939907734
70426,CHAMPNIERS ET REILHAC,24360,CHAMPNIERS ET REILHAC,,45.6403534029, 0.649615228701
70427,LA CHAPELLE MONTMOREAU,24300,LA CHAPELLE MONTMOREAU,,45.5368592505, 0.644182618939
70428,MAINNEVILLE,27150,MAINNEVILLE,,49.3312689444, 1.59419925539
70429,MANNEVILLE LA RAOULT,27210,MANNEVILLE LA RAOULT,,49.3651599552, 0.371153081403
70430,MARCILLY SUR EURE,27810,MARCILLY SUR EURE,,48.821209934, 1.33322644002
70431,MARTAINVILLE,27210,MARTAINVILLE,,49.3651599552, 0.371153081403
70432,MELICOURT,27390,MELICOURT,,48.9214064933, 0.481488505214
70433,MENILLES,27120,MENILLES,,49.0197588771, 1.35524872453
70435,LE MESNIL JOURDAIN,27400,LE MESNIL JOURDAIN,,49.185538027, 1.1391389969
70436,MESNIL SOUS VIENNE,27150,MESNIL SOUS VIENNE,,49.3312689444, 1.59419925539
70437,MOISVILLE,27320,MOISVILLE,,48.803702003, 1.19395665858
70438,BUIS SUR DAMVILLE,27240,BUIS SUR DAMVILLE,,48.8630175528, 1.06923363449
70439,MOUFLAINES,27420,MOUFLAINES,,49.2104555744, 1.59282946064
70440,NEAUFLES AUVERGNY,27250,NEAUFLES AUVERGNY,,48.8418982747, 0.70407157024
70441,NOARDS,27560,NOARDS,,49.2341277633, 0.525587390857
70442,NONANCOURT,27320,NONANCOURT,,48.803702003, 1.19395665858
70443,LE NOYER EN OUCHE,27410,LE NOYER EN OUCHE,,49.0064963225, 0.739265680908
70444,PIENCOURT,27230,PIENCOURT,,49.1267066474, 0.462557937493
70445,PORTE JOIE,27430,PORTE JOIE,,49.2436385648, 1.27500108423
70446,PORT MORT,27940,PORT MORT,,49.1799104876, 1.36654248146
70447,LA POTERIE MATHIEU,27560,LA POTERIE MATHIEU,,49.2341277633, 0.525587390857
70447,PULLAY,27130,PULLAY,,48.7416976745, 0.908654179954
70448,ROUTOT,27350,ROUTOT,,49.3762845951, 0.704252322111
70449,RUGLES,27250,RUGLES,,48.8418982747, 0.70407157024
70450,ST AUBIN SUR GAILLON,27600,ST AUBIN SUR GAILLON,,49.1557980805, 1.30618945985
70451,ST AUBIN SUR QUILLEBEUF,27680,ST AUBIN SUR QUILLEBEUF,,49.4325270069, 0.498906831944
70452,ST CHRISTOPHE SUR AVRE,27820,ST CHRISTOPHE SUR AVRE,,48.6910585643, 0.801324463794
70453,ST CLAIR D ARCEY,27300,ST CLAIR D ARCEY,,49.1002170392, 0.597556299077
70454,STE COLOMBE PRES VERNON,27950,STE COLOMBE PRES VERNON,,49.0939868057, 1.40527205161
70455,ST DENIS LE FERMENT,27140,ST DENIS LE FERMENT,ST PAER,49.3150271215, 1.74471668878
70456,ST GEORGES DU MESNIL,27560,ST GEORGES DU MESNIL,,49.2341277633, 0.525587390857
70457,ST GEORGES DU VIEVRE,27450,ST GEORGES DU VIEVRE,,49.2621998831, 0.589575970015
70459,ST GEORGES MOTEL,27710,ST GEORGES MOTEL,,48.7915664803, 1.35974945164
70460,ST GERMAIN DE PASQUIER,27370,ST GERMAIN DE PASQUIER,,49.2357010366, 0.935247048397
70461,ST GERMAIN DES ANGLES,27930,ST GERMAIN DES ANGLES,,49.0499172873, 1.17473094072
70462,VILLECHETIF,10410,VILLECHETIF,BELLEY,48.2983334554, 4.15487406021
70463,LA VILLENEUVE AU CHATELOT,10400,LA VILLENEUVE AU CHATELOT,,48.4799726716, 3.5156539842
70464,VENDEUVRE SUR BARSE,10140,VENDEUVRE SUR BARSE,,48.2443606803, 4.48006737892
70466,VILLIERS HERBISSE,10700,VILLIERS HERBISSE,,48.5834551294, 4.16090274297
70466,LA VENDUE MIGNOT,10800,LA VENDUE MIGNOT,,48.2055801821, 4.1125140322
70467,VAUCHONVILLIERS,10140,VAUCHONVILLIERS,,48.2443606803, 4.48006737892
70468,VILLE SUR ARCE,10110,VILLE SUR ARCE,,48.1160220302, 4.43093259336
70469,VERRIERES,10390,VERRIERES,,48.2168971056, 4.18018933938
70470,VILLELOUP,10350,VILLELOUP,,48.3775314816, 3.79587488372
70471,VILLACERF,10600,VILLACERF,,48.3767482025, 3.98875459714
70472,CAMPAGNE SUR AUDE,11260,CAMPAGNE SUR AUDE,,42.9301295633, 2.17179732489
70473,BELVEZE DU RAZES,11240,BELVEZE DU RAZES,,43.1188469018, 2.06671991119
70474,BELCASTEL ET BUC,11580,BELCASTEL ET BUC,,43.0019735527, 2.32970366921
70475,BIZE MINERVOIS,11120,BIZE MINERVOIS,,43.2793720392, 2.88392060651
70476,BOUILHONNAC,11800,BOUILHONNAC,,43.2182954878, 2.49172141797
70477,LES CASSES,11320,LES CASSES,,43.3837467528, 1.85528043392
70477,LA BEZOLE,11300,LA BEZOLE,,43.0486403902, 2.18021479284
70477,BOURIEGE,11300,BOURIEGE,,43.0486403902, 2.18021479284
70478,CAILHAU,11240,CAILHAU,,43.1188469018, 2.06671991119
70479,BLOMAC,11700,BLOMAC,,43.2164263433, 2.63518086038
70480,VILLIERS LE BOIS,10210,VILLIERS LE BOIS,,48.0240420903, 4.12388886656
70481,ALBIERES,11330,ALBIERES,,42.9592043622, 2.54502712372
70482,ARTIGUES,11140,ARTIGUES,,42.7657925357, 2.16672255446
70483,BELCAIRE,11340,BELCAIRE,,42.8370630944, 1.98179772961
70484,VULAINES,10160,VULAINES,,48.1889637587, 3.74338839008
70485,BARBAIRA,11800,BARBAIRA,,43.2182954878, 2.49172141797
70486,ARMISSAN,11110,ARMISSAN,,43.2267884537, 3.0836448835
70487,ALAIRAC,11290,ALAIRAC,,43.1943746552, 2.18782678941
70487,BADENS,11800,BADENS,,43.2182954878, 2.49172141797
70488,ALBAS,11360,ALBAS,,42.9848553966, 2.7967793394
70489,VAL DE LAMBRONNE,11230,VAL DE LAMBRONNE,CAUDEVAL,42.9737220665, 2.02689573941
70490,CAUNETTES EN VAL,11220,CAUNETTES EN VAL,,43.0809470716, 2.59145854442
70491,CAUNES MINERVOIS,11160,CAUNES MINERVOIS,,43.3459989767, 2.52081672381
70492,CAZALRENOUX,11270,CAZALRENOUX,,43.1822151687, 1.96656505821
70492,COUNOZOULS,11140,COUNOZOULS,,42.7657925357, 2.16672255446
